Utility ID,Generator ID
2,2
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,U5
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
Many,9
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
1,1CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
2,2CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
3,3CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
4,4CT
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,4
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
Many,6
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
6,Y6CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
7,Y7CS
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,1-6
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,3
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,03
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,04
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
6,6
6,6
6,6
6,6
6,6
6,6
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
3,33
3,33
3,33
3,33
3,33
3,33
3,33
3,33
3,33
3,33
3,33
3,33
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
4,41
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,1-4
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,50
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
6,60
7,70
7,70
7,70
7,70
7,70
7,70
7,70
7,70
7,70
7,70
7,70
7,70
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
Many,ECT1
ST2,2
ST2,2
ST2,2
ST2,2
ST2,2
ST2,2
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
ST3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
12,12
12,12
12,12
12,12
12,12
12,12
